1.2.1,linux,x86_64,115
1.2.1,win32,x86_64,95
2.1.0,win32,x86_64,82
2.0.0,win32,x86_64,57
2.0.0,linux,x86_64,49
1.2.0,linux,x86_64,47
2.1.0,linux,x86_64,45
2.0.1,win32,x86_64,40
2.0.1,linux,x86_64,34
1.2.1,win32,x86,32
1.2.1,linux,x86,24
1.1.0,win32,x86_64,21
2.1.0,win32,x86,20
1.2.0,win32,x86_64,19
2.0.1,win32,x86,17
1.1.0,linux,x86_64,16
2.0.0,win32,x86,16
2.0.0,linux,x86,14
2.2.0,win32,x86_64,13
2.0.1,linux,x86,12
2.2.0,linux,x86_64,11
1.2.1,macosx,x86_64,9
2.0.1,macosx,x86_64,9
1.2.0,win32,x86,8
1.2.0,macosx,x86_64,7
0.1.0,linux,x86_64,7
0.1.0,win32,x86_64,6
2.2.0,macosx,x86_64,6
2.1.0,linux,x86,6
2.1.0,macosx,x86_64,5
1.0.0,win32,x86_64,4
1.1.0,win32,x86,4
0.1.0,linux,x86,3
1.2.0,linux,x86,3
1.0.0,linux,x86_64,3
1.0.0,linux,x86,2
2.2.0,linux,x86,2
1.0.0,win32,x86,2
0.1.0,win32,x86,2
1.1.0,linux,x86,1
2.2.0,win32,x86,1
